pID	gr
2882932	2
2269405	1
55556	1
3432325	2
2670711	1
3857214	6
20150916	10
3070909	1
40752701	7
20491077	1
40660091	10
1269105	5
3548757	1
1305344	1
4088151	1
2082609	9
40210401	4
3696324	4
2153374	5
3148384	2
2109933	3
352194	4
2426052	1
3211710	3
4616674	5
1684362	1
3697847	3
25449846	1
65524	2
38856	2
121545	2
20831598	4
4142274	2
40344618	10
1344662	3
1911159	3
3144120	2
2677009	5
2244432	5
3375782	2
28259	2
1132027	4
4269867	5
1710500	2
40658289	6
4534443	1
2393678	6
4105651	6
3839068	3
27752495	6
2601004	3
2430242	1
2533688	5
2760119	8
3079193	1
3391860	1
2360906	2
2836802	1
40484604	1
1911923	3
31394	2
27696419	1
3074127	1
41106206	3
4219887	1
23011826	8
25167677	3
40539157	5
4363469	3
3548332	1
56035	1
4189307	6
2097304	1
3320454	4
2805589	1
40865199	3
1266591	5
2559937	1
40229498	3
2004724	2
3767370	4
3149483	6
3812772	4
2112194	4
201938	4
25050496	5
25115497	8
30046974	5
25078442	1
3996977	1
20443408	1
1609134	2
3371780	2
1304711	1
2239773	5
60260	2
3227148	1
122694	2
31507	2
1484102	1
3669588	1
1911390	3
25050201	5
1442172	1
40230906	4
2391722	6
1445923	1
24132	2
2260353	1
4622022	3
2635122	6
3695668	5
30076911	2
2545770	4
1304579	1
3376617	2
4223639	1
25153420	1
2459541	1
4292521	2
25148352	1
2836712	1
4142701	1
67288	2
30146444	2
1448517	1
4101754	3
1703689	2
3236650	1
3448927	1
4599270	1
4251370	1
3003001	7
2839155	1
3450993	1
20107809	1
3495626	1
2746363	9
525069	8
2897193	2
3990010	3
2630484	6
2419243	1
1999427	5
20063258	10
1128536	4
1403638	5
3989590	1
20616769	1
4354963	4
26519	2
1693921	2
3668729	1
2410590	2
1349412	3
1548254	1
3070957	1
1247238	6
2291538	5
3010012	3
4126526	1
4513502	1
4312824	1
14419	2
40483091	2
1251274	6
40665170	1
1300916	1
3809254	1
46568	2
2387131	1
20143185	1
590548	4
40482039	2
2356631	2
4222956	1
42480	2
3212694	5
1128616	4
20170407	2
3669724	1
4309399	4
25614659	6
1941985	1
976831	7
40983080	4
4269700	1
10901	2
1621216	2
25461797	2
25662908	1
1707210	1
20519864	1
1305757	1
69487	2
2442368	1
1746432	5
35959	2
4140823	8
3857286	7
3084262	2
4601188	1
4297782	1
2347449	5
4279586	2
4032753	1
3096608	1
2706924	3
40980895	1
4090519	1
3428212	1
1621865	2
3533298	5
2640578	1
2335617	5
25831106	2
3340234	4
4539938	1
4152013	2
4218064	1
32855	2
172141	3
3227018	2
2985855	5
4281682	2
20065022	2
2367011	2
20832204	4
2429950	1
20406233	1
4493005	4
1564425	1
3798938	1
2094232	9
1243938	10
4275625	2
3236033	1
2684973	5
3882808	1
2458561	1
1351054	1
4533431	1
4406131	8
1708039	1
2648463	1
25426132	2
29770168	3
3843782	2
2461479	1
2565788	3
1612357	2
3502595	3
4272660	2
1305338	1
40186767	10
40662622	1
66527	2
62959	2
2327526	3
3711153	9
2805579	1
1726445	1
3899889	1
258233	6
3054803	2
30158599	1
1565175	1
4219791	1
3566411	1
349302	4
25450904	1
2458671	1
1298883	1
2245276	3
1400500	1
1914041	3
40483325	2
3147528	2
40327298	10
3541131	8
3870280	2
2774809	6
4620697	4
2487261	3
3547779	1
3809501	1
20780561	2
40205284	4
3247	1
40552865	8
3869674	2
4132682	3
40650955	3
30117593	2
3548423	1
20142637	8
4414051	4
25072911	6
1448610	1
440158	9
40660766	1
4313751	1
3315483	5
4152410	2
40065295	2
28214	2
3871154	2
30075930	2
32703	2
2775976	4
4271710	1
22687	2
1711109	1
3214241	5
1305277	1
13940	2
25704524	4
48746	2
2529624	5
4094557	1
121406	2
3581128	2
585559	4
20723322	6
2416608	1
30000359	4
4002597	1
1985	1
4540250	1
3884205	1
25249798	1
40665814	3
2669945	5
25003	2
25043103	5
69553	2
20831788	6
4216792	1
4086279	1
1130288	4
3694841	3
725701	9
1611683	2
40752721	3
3511568	4
2648455	1
3558411	1
2535413	3
25249543	1
3802195	1
2386474	1
3078176	2
3566749	1
2430282	1
3211626	3
2353670	2
1552314	1
4496160	1
2951389	3
2937268	1
3802277	1
40210637	1
48839	2
30164012	3
2835668	1
2600786	9
3148252	2
27521730	4
1033353	3
2425787	1
3672767	1
61275	2
67577	2
40339020	3
4223412	1
4121813	3
40607104	10
4188660	6
3061452	1
4602220	1
974667	6
3803682	1
3706063	1
4480344	3
1521589	1
31080	2
3495130	1
3569854	3
3371796	2
83256	2
3090175	4
40485393	2
1468714	1
2554490	3
3447335	4
2661150	8
2531738	5
1392241	3
1620399	2
3482513	10
4194044	4
3214873	5
25058209	6
4033026	1
2837791	1
2948698	4
40214533	6
20424862	1
20183361	1
25465751	2
40390714	1
3882139	1
2172528	4
1688068	2
4601667	1
40483618	1
1305184	1
20077204	2
8648	2
2599941	3
1617651	2
40227585	3
33804	2
3843311	2
4277462	2
2443173	1
2366598	2
3244885	1
3172572	6
3682607	1
2388104	1
59802	2
3858492	1
2684568	5
3872350	2
31985	2
2527162	3
640664	8
25470639	5
40483623	2
2881524	2
25463265	2
585140	4
40877488	8
3580382	2
3094345	6
3076765	2
3000295	4
30107416	2
30219596	3
40482808	2
252845	3
46003	2
1555798	1
4115725	1
252765	3
4640415	5
1240930	3
3315882	5
2997902	1
20424880	1
4009137	1
40058357	1
2665821	1
40254757	1
350802	4
1378125	1
40212193	10
4122699	1
2403757	1
3649564	6
3801517	1
1616082	2
3875248	6
2135943	4
41108129	9
3544648	1
3629576	8
20181793	1
2122234	1
586145	9
179973	8
3858659	1
1616998	2
40784797	3
40216632	5
25436070	2
3862733	2
4536307	1
4238	1
1618602	2
2457069	1
25063249	1
2367285	2
4264362	2
1236872	3
3821296	8
3583208	4
1222592	1
4463794	2
1615626	2
2357488	2
4217718	1
3871828	2
20853695	4
2363656	2
4217192	1
1571665	1
1422408	5
14011	2
2770650	6
2890773	2
2685105	5
9466	2
2640724	1
3435349	2
1304962	1
2110832	9
1565803	1
4535419	1
2109110	9
4110372	1
40343388	1
20870089	3
136499	3
4313435	1
2241427	5
20487797	1
2431517	1
55651	2
2408869	1
40483153	2
4264446	2
5126	1
3501433	3
29784277	2
2239589	5
4393410	8
3391901	1
20051210	1
30045398	1
30024448	9
40316131	8
3318446	5
2646832	3
25569303	4
271067	5
25056073	3
3798295	1
20157328	10
3073579	2
1382354	1
2238404	5
20460752	6
3897125	2
4478399	3
1383958	1
2656199	1
1700768	2
3148785	2
3215179	5
1699129	1
20063740	1
27768268	6
256954	6
4599450	1
4478963	3
30060799	1
1305340	1
3444146	10
1269339	5
2574295	4
2960026	4
1485238	1
3672277	1
1740027	1
2446591	1
1369218	1
3373761	2
4603117	1
2334362	5
1266205	5
2740725	5
20110325	3
3832656	1
2348937	5
4531872	4
1248409	7
40962516	5
2473763	2
1469665	1
1807804	3
40863174	8
2646780	5
1510677	10
2663628	3
